iso3c,region_id,country_name,income_id,gdp,population_population_number_of_people,total_msw_total_msw_generated_tons_year,composition_food_organic_waste_percent,composition_glass_percent,composition_metal_percent,composition_other_percent,composition_paper_cardboard_percent,composition_plastic_percent,composition_rubber_leather_percent,composition_wood_percent,composition_yard_garden_green_waste_percent,waste_treatment_anaerobic_digestion_percent,waste_treatment_compost_percent,waste_treatment_controlled_landfill_percent,waste_treatment_incineration_percent,waste_treatment_landfill_unspecified_percent,waste_treatment_open_dump_percent,waste_treatment_other_percent,waste_treatment_recycling_percent,waste_treatment_sanitary_landfill_landfill_gas_system_percent,waste_treatment_unaccounted_for_percent,waste_treatment_waterways_marine_percent,where_is_this_data_measured
POL,ECS,Poland,HIC,33221.54296875,37970872,12758213,37.27,10.07,2.17,26.69,11.27,12.13,NA,0.4,NA,NA,16.11,NA,13.24,44.26,NA,NA,26.39,NA,NA,NA,NA
PRI,LCN,Puerto Rico,HIC,34311.03125,3473181,4170953,13.1,2.4,10.4,23.8,19.4,10.4,NA,NA,20.5,NA,NA,NA,NA,66.5,NA,NA,14,NA,19.5,NA,NA
PRT,ECS,Portugal,HIC,34961.9453125,10269417,5268211,36.49,6.73,1.85,27.680000000000003,13.64,10.72,NA,0.93,1.94,NA,14.12,NA,20.68,48.97,NA,NA,16.23,NA,NA,NA,NA
PRY,LCN,Paraguay,UMC,11810.427734375,6639119,1818501.3648,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.2,NA,NA,23.4,NA,NA,36.4,NA,NA,NA
PSE,MEA,West Bank and Gaza,LMC,5985.68310546875,4046901,1387000,59.1,2.4,2.7,11.5,10.1,14.2,NA,NA,NA,NA,0.5,33,NA,NA,67,NA,0.5,NA,NA,NA,Disposal site
PYF,EAS,French Polynesia,HIC,60955.7265625,273528,147000,47,3,3,29,16,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39,NA,61,NA,NA
QAT,MEA,Qatar,HIC,96261.6640625,2109568,1000990.016,57,4,9,5,11,14,NA,NA,NA,NA,NA,NA,4,93,NA,NA,3,NA,NA,NA,NA
ROU,ECS,Romania,UMC,29983.556640625,19356544,5419832.5,56.26,4.89,2.5,10.68,11.34,12.33,NA,2,NA,NA,7.46,NA,2.37,71.96,NA,NA,5.67,NA,12.54,NA,Disposal site
RUS,ECS,Russian Federation,UMC,26012.849609375,143201680,60000000,28.41,16.82,1.83,19.03,19.7,14.21,NA,NA,NA,NA,NA,NA,NA,NA,95,NA,4.5,NA,0.5,NA,NA
RWA,SSF,Rwanda,LIC,1950.528076171875,11917508,4384969,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SAU,MEA,Saudi Arabia,HIC,48921.23046875,31557144,16125700.584,45.5,4,5,2.5,27,11,NA,5,NA,NA,NA,85,NA,NA,NA,NA,15,NA,NA,NA,Disposal site
SDN,SSF,Sudan,LMC,4191.8232421875,38647804,2831291,51.4,3.5,1.7,18.9,11.8,12.7,NA,NA,NA,NA,NA,NA,NA,82,NA,18,NA,NA,NA,NA,NA
SEN,SSF,Senegal,LIC,3067.66259765625,15411614,2454059.25,12,2,2,68,5,9,NA,2,NA,NA,NA,5.1,NA,NA,43.8,4.7,NA,NA,46.39999999999999,NA,NA
SGP,EAS,Singapore,HIC,97341.46875,5703600,1870000,10.51,0.93,19.12,32.3,14.86,10.58,1.96,5.5,4.26,NA,NA,NA,37,2,NA,NA,61,NA,NA,NA,NA
SLB,EAS,Solomon Islands,LMC,2596.452880859375,563513,179971.964375,42.8,6.65,13.15,3.7,6.45,22.35,4.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,81,NA
SLE,SSF,Sierra Leone,LIC,1237.6302490234375,5439695,610222.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SLV,LCN,El Salvador,LMC,7328.71337890625,6164626,1648996.18,65,4,2,7,12,10,NA,NA,NA,NA,NA,NA,NA,NA,13.8,7.9,NA,78.2,0.1,NA,NA
SMR,ECS,San Marino,HIC,58806.19921875,33203,17174.68,5.35,5.61,0.9,65.56,13.21,5.6,NA,1.28,2.49,NA,NA,NA,NA,NA,NA,NA,45.05,NA,54.95,NA,NA
SOM,SSF,Somalia,LIC,1862.6141357421875,14317996,2326099.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SRB,ECS,Serbia,UMC,18351.2734375,6944975,2347401.5,37.62,5.44,1.38,16.72,13.57,12.73,0.4,NA,12.14,NA,NA,NA,NA,73.91,NA,NA,0.76,NA,25.33,NA,Other
SSD,SSF,South Sudan,LIC,1795.991943359375,11177490,2680681,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
STP,SSF,São Tomé and Príncipe,LMC,3720.786865234375,191266,25586.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SUR,LCN,Suriname,UMC,16953.802734375,526103,78619.79914999999,57,3,3,24,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,63,NA,NA,NA,37,NA,NA
SVK,ECS,Slovak Republic,HIC,31965.76171875,5454073,2296164.75,42,19,2,1,25,11,NA,NA,NA,NA,7.29,NA,10.71,68.72,NA,NA,7.62,NA,5.66,NA,NA
SVN,ECS,Slovenia,HIC,39037.93359375,2087946,1052324.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.67,NA,17.06,22.68,NA,NA,46.44,NA,6.15,NA,NA
SWE,ECS,Sweden,HIC,52608.7109375,10285453,4618168.5,23.34,9.15,9.2,NA,36.4,6.58,NA,NA,15.33,NA,15.63,NA,51.2,0.8,NA,NA,32.37,NA,NA,NA,NA
SWZ,SSF,Eswatini,LMC,8321.1064453125,1343098,218199.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SXM,LCN,Sint Maarten (Dutch part),HIC,NA,37685,NA,46,7,7,12,15,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SYC,SSF,Seychelles,HIC,23302.953125,88303,48000,48.5,5.2,4.6,25.800000000000004,5.9,9.9,0.2,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SYR,MEA,Syrian Arab Republic,LIC,8587.05078125,20824892,4500000,57,3,4,22,7,7,NA,NA,NA,NA,1.5,NA,NA,20,80,NA,2.5,NA,NA,NA,Disposal site
TCA,LCN,Turks and Caicos Islands,HIC,28174.482421875,34900,NA,21.8,20.5,7.6,2.4,31.5,16.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TCD,SSF,Chad,LIC,1732.6912841796875,11887202,1358850.53,70,1,2,18,3,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TGO,SSF,Togo,LIC,1404.1329345703125,7228915,1109030.45,38,2,4,42,4,10,NA,NA,NA,NA,1.8,NA,NA,NA,96.2,NA,2,NA,NA,NA,NA
THA,EAS,Thailand,UMC,16301.5380859375,68657600,26853366,65.52,3.04,1.85,4.74,7.6,17.59,0.46,0.8,NA,NA,NA,NA,0.4,27,53.5,NA,19.1,NA,NA,NA,NA
TJK,ECS,Tajikistan,LIC,2616.4755859375,8177809,1787400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,NA
TKM,ECS,Turkmenistan,UMC,11471.1865234375,5366277,500000,16.18,4.64,11.44,62.540000000000006,NA,2.19,NA,3.01,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,Disposal Site
TLS,EAS,Timor-Leste,LMC,3344.57373046875,1268671,63875,43.6,5.5,10,9.3,10.9,16.5,4.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TON,EAS,Tonga,UMC,5636.41845703125,104951,17238.20175,51.3,5.9,9,8.9,7.4,13.4,4.1,NA,NA,NA,NA,NA,NA,40,NA,NA,NA,NA,60,NA,NA
TTO,LCN,Trinidad and Tobago,HIC,28910.908203125,1328100,727874,27.15,10.15,3.74,17.19,22.6,19.17,NA,NA,NA,NA,0.8,12,NA,NA,84,NA,NA,NA,3.200000000000003,NA,Disposal Site
TUN,MEA,Tunisia,LMC,10505.2626953125,11143908,2700000,68,2,4,5,10,11,NA,NA,NA,NA,5,NA,NA,70,21,NA,4,NA,NA,NA,Disposal site
TUR,ECS,Turkey,UMC,28289.087890625,83429616,35374156,64,2,1,24,6,3,NA,NA,NA,NA,1,NA,NA,NA,44,NA,NA,54,1,NA,NA
TUV,EAS,Tuvalu,UMC,3793.127685546875,11097,3989.4865,43.6,5.5,10,9.3,10.9,16.5,4.2,NA,NA,NA,NA,NA,NA,NA,14.5,NA,15,NA,70.5,NA,NA
TWN,EAS,NA,HIC,57362.92578125,23434000,7336000,23.34,4.11,3.07,14.11,30.01,20.23,0.6,NA,4.43,NA,NA,NA,64.2,34.8,NA,1,NA,NA,NA,NA,NA
TZA,SSF,Tanzania,LIC,2128.553955078125,49082996,9276995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,69,22.6,NA,NA,8.5,NA,NA
UGA,SSF,Uganda,LIC,1972.3017578125,35093648,7045049.836,74.5,0.8,0.6,10.6,6,7.6,NA,NA,NA,NA,NA,NA,NA,NA,87,NA,6,7,NA,NA,NA
UKR,ECS,Ukraine,LMC,11534.6376953125,45004644,15242025,37,5,4,22,25,7,NA,NA,NA,NA,NA,NA,2.73,94.07,NA,NA,3.2,NA,NA,NA,Other
URY,LCN,Uruguay,HIC,20588.392578125,3431552,1260139.5086500002,53.5,3,5,7.5,20,11,NA,NA,NA,NA,NA,61.7,NA,NA,17.5,NA,8,10.5,2.3,NA,NA
USA,"NAC",United States,HIC,61498.37109375,326687488,265224528,14.9,4.4,9,3.2,26.6,12.9,9.5,6.2,13.3,NA,NA,NA,12.8,52.6,NA,NA,34.6,NA,NA,NA,NA
UZB,ECS,Uzbekistan,LMC,5164.2744140625,29774500,4000000,40,3,2,17.5,17.5,2.5,1.5,4,NA,NA,NA,NA,NA,NA,60,NA,NA,NA,40,NA,Disposal site
VCT,LCN,St. Vincent and the Grenadines,UMC,11971.9931640625,109455,31561.34925,49.6,5.6,3.8,10.5,22.1,8.4,NA,NA,NA,NA,0.09,NA,NA,99.91,NA,3.6,NA,NA,NA,NA,NA
VEN,LCN,"Venezuela, RB",UMC,14269.673828125,29893080,9779093.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
VGB,LCN,British Virgin Islands,HIC,24215.8828125,20645,21099.19,6.5,18.1,8.6,4.8,33.5,6.3,NA,22.2,NA,NA,NA,NA,80.3,NA,NA,NA,NA,NA,19.7,NA,NA
VIR,LCN,Virgin Islands (U.S.),HIC,30436.564453125,105784,146500,46,7,7,12,15,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
VNM,EAS,Vietnam,LMC,5089.4111328125,86932496,9570300,61.9,2.18,0.58,15.18,5.2,12.15,0.6,3.74,NA,NA,15,NA,NA,NA,NA,NA,23,NA,62,NA,NA
VUT,EAS,Vanuatu,LMC,3061.787353515625,270402,70225.489,73.4,5.4,3.8,5.7,4.05,6.45,1.2,NA,NA,NA,NA,NA,NA,NA,11.3,NA,37,NA,51.7,NA,NA
WSM,EAS,Samoa,UMC,6210.9833984375,187665,27399.09,42.6,2.2,8.8,19.4,7.2,13,6.8,NA,NA,NA,NA,31,NA,NA,NA,NA,36,NA,33,NA,NA
XKX,ECS,Kosovo,LMC,9723.5615234375,1801800,319000,42,6,6,20,8,11,NA,7,NA,NA,NA,66.43,NA,NA,33.57,NA,NA,NA,NA,NA,NA
YEM,MEA,"Yemen, Rep.",LIC,8269.671875,27584212,4836820,65,1,6,6,7,10,1,3,1,NA,NA,12,NA,NA,25,NA,8,NA,47,8,Other
ZAF,SSF,South Africa,UMC,12666.607421875,51729344,18457232,16.381654627302726,5.200216370472019,16.9104608968452,45.020645565922344,9.396918237794267,7.090104301663434,NA,NA,NA,NA,NA,72,NA,NA,NA,NA,28,NA,NA,NA,NA
ZMB,SSF,Zambia,LMC,3201.289306640625,14264756,2608268,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ZWE,SSF,Zimbabwe,LIC,3190.506591796875,12500525,1449752,36,5,6,3,27,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,NA,84,NA,NA
